U+12155	𒅕
U+12156	𒅖
U+12157	𒅗
U+12158	𒅘
U+12159	𒅙
U+12160	𒅠
U+12161	𒅡
U+12162	𒅢
U+12163	𒅣
U+12164	𒅤
U+12165	𒅥
U+12166	𒅦
U+12167	𒅧
U+12168	𒅨
U+12169	𒅩
U+12170	𒅰
U+12171	𒅱
U+12172	𒅲
U+12173	𒅳
U+12174	𒅴
U+12175	𒅵
U+12176	𒅶
U+12177	𒅷
U+12178	𒅸
U+12179	𒅹
U+12180	𒆀
U+12181	𒆁
U+12182	𒆂
U+12183	𒆃
U+12184	𒆄
U+12185	𒆅
U+12186	𒆆
U+12187	𒆇
U+12188	𒆈
U+12189	𒆉
U+12190	𒆐
U+12191	𒆑
U+12192	𒆒
U+12193	𒆓
U+12194	𒆔
U+12195	𒆕
U+12196	𒆖
U+12197	𒆗
U+12198	𒆘
U+12199	𒆙
U+12200	𒈀
U+12201	𒈁
U+12202	𒈂
U+12203	𒈃
U+12204	𒈄
U+12205	𒈅
U+12206	𒈆
U+12207	𒈇
U+12208	𒈈
U+12209	𒈉
U+12210	𒈐
U+12211	𒈑
U+12212	𒈒
U+12213	𒈓
U+12214	𒈔
U+12215	𒈕
U+12216	𒈖
U+12217	𒈗
U+12218	𒈘
U+12219	𒈙
U+12220	𒈠
U+12221	𒈡
U+12222	𒈢
U+12223	𒈣
U+12224	𒈤
U+12225	𒈥
U+12226	𒈦
U+12227	𒈧
U+12228	𒈨
U+12229	𒈩
U+12230	𒈰
U+12231	𒈱
U+12232	𒈲
U+12233	𒈳
U+12234	𒈴
U+12235	𒈵
U+12236	𒈶
U+12237	𒈷
U+12238	𒈸
U+12239	𒈹
U+12240	𒉀
U+12241	𒉁
U+12242	𒉂
U+12243	𒉃
U+12244	𒉄
U+12245	𒉅
U+12246	𒉆
U+12247	𒉇
U+12248	𒉈
U+12249	𒉉
U+12250	𒉐
U+12251	𒉑
U+12252	𒉒
U+12253	𒉓
U+12254	𒉔
U+12255	𒉕
U+12256	𒉖
U+12257	𒉗
U+12258	𒉘
U+12259	𒉙
U+12260	𒉠
U+12261	𒉡
U+12262	𒉢
U+12263	𒉣
U+12264	𒉤
U+12265	𒉥
U+12266	𒉦
U+12267	𒉧	
U+12268	𒉨
U+12269	𒉩
U+12270	𒉰
U+12271	𒉱
U+12272	𒉲
U+12273	𒉳
U+12274	𒉴
U+12275	𒉵
U+12276	𒉶
U+12277	𒉷
U+12278	𒉸
U+12279	𒉹
U+12280	𒊀
U+12281	𒊁
U+12282	𒊂
U+12283	𒊃
U+12284	𒊄
U+12285	𒊅
U+12286	𒊆
U+12287	𒊇
U+12288	𒊈
U+12289	𒊉
U+12290	𒊐
U+12291	𒊑
U+12292	𒊒
U+12293	𒊓
U+12294	𒊔
U+12295	𒊕
U+12296	𒊖
U+12297	𒊗
U+12298	𒊘
U+12299	𒊙
U+12300	𒌀
U+12301	𒌁
U+12302	𒌂
U+12303	𒌃
U+12304	𒌄
U+12305	𒌅
U+12306	𒌆
U+12307	𒌇
U+12308	𒌈
U+12309	𒌉
U+12310	𒌐
U+12311	𒌑
U+12312	𒌒
U+12313	𒌓
U+12314	𒌔
U+12315	𒌕
U+12316	𒌖
U+12317	𒌗
U+12318	𒌘
U+12319	𒌙
U+12320	𒌠
U+12321	𒌡
U+12322	𒌢
U+12323	𒌣
U+12324	𒌤
U+12325	𒌥
U+12326	𒌦
U+12327	𒌧
U+12328	𒌨
U+12329	𒌩
U+12330	𒌰
U+12331	𒌱
U+12332	𒌲
U+12333	𒌳
U+12334	𒌴
U+12335	𒌵
U+12336	𒌶
U+12337	𒌷
U+12338	𒌸
U+12339	𒌹
U+12340	𒍀
U+12341	𒍁
U+12342	𒍂
U+12343	𒍃
U+12344	𒍄
U+12345	𒍅
U+12346	𒍆
U+12347	𒍇
U+12348	𒍈
U+12349	𒍉
U+12350	𒍐
U+12351	𒍑
U+12352	𒍒
U+12353	𒍓
U+12354	𒍔
U+12355	𒍕
U+12356	𒍖
U+12357	𒍗
U+12358	𒍘
U+12359	𒍙
U+12360	𒍠
U+12361	𒍡
U+12362	𒍢
U+12363	𒍣
U+12364	𒍤
U+12365	𒍥
U+12366	𒍦
U+12367	𒍧
U+12368	𒍨
U+12369	𒍩
U+12370	𒍰
U+12371	𒍱
U+12372	𒍲
U+12373	𒍳
U+12374	𒍴
U+12375	𒍵
U+12376	𒍶
U+12377	𒍷
U+12378	𒍸
U+12379	𒍹
U+12380	𒎀
U+12381	𒎁
U+12382	𒎂
U+12383	𒎃
U+12384	𒎄
U+12385	𒎅
U+12386	𒎆
U+12387	𒎇
U+12388	𒎈
U+12389	𒎉
U+12390	𒎐
U+12391	𒎑
U+12392	𒎒
U+12393	𒎓
U+12394	𒎔
U+12395	𒎕
U+12396	𒎖
U+12397	𒎗
U+12398	𒎘
U+12399	𒎙
